task_id,workstream,priority,owner,target_paths,summary,dependencies,acceptance,tests
TASK-011,WS-01,P0,reception-owner,web-client/src/features/charts/orcaClaimSendCache.ts,billing transmission cache を row-local key に移す,TASK-010;WS01-G1,別受付に `送信済` / `失敗` が誤貼りされない,TST-007;TST-031
TASK-012,WS-01,P0,reception-owner,web-client/src/features/reception/pages/ReceptionPage.tsx,workflow/transmission/correction/setting 4 層と always-visible row inventory を実装する,TASK-009;TASK-010;TASK-011,`会計待ち + 送信済` fallback と correction slot が table/card で読める,TST-006;TST-008;TST-020;TST-021
TASK-013,WS-01,P1,reception-owner,web-client/src/features/reception/receptionHandoff.ts,canonical key fail-close を維持し row-local refactor と整合させる,TASK-012,patientId-only open が復活しない,TST-008;TST-021
TASK-014,WS-02,P0,charts-shell-owner,web-client/src/features/charts/ChartsPatientSummaryBar.tsx,patient summary bar を encounter context band に変更する,TASK-007,患者・来院・send/billing 概況が bar だけで読める,TST-009;TST-011
TASK-015,WS-02,P0,charts-shell-owner,web-client/src/features/charts/ChartsActionBar.tsx,page CTA owner を一本化し visible save/print/return を実装する,TASK-014,required action が disclosure に落ちず single primary を守る,TST-009;TST-010;TST-022
TASK-016,WS-02,P0,charts-shell-owner,web-client/src/features/charts/pages/ChartsPage.tsx;web-client/src/features/charts/styles.ts;src/AppRouter.tsx;src/styles/app-shell.css;src/features/workspaceTabs/WorkspaceTabBar.tsx,lost-context fail-close と center-first width rule を実装する,TASK-014;TASK-015;UG-16,minimal context loss で unsafe continuation せず 1280/1024/768 で可読順を保つ,TST-010;TST-011;TST-012;TST-013
TASK-017,WS-03,P0,orders-owner,web-client/src/features/charts/rightUtilityTools.ts;web-client/src/features/charts/RightUtilityDock.tsx,runtime right dock の tool taxonomy を order-facing 5 区分に限定する,TASK-001;TASK-002,`document` / `orca` tool が runtime dock から消える,TST-014;TST-016
TASK-018,WS-03,P0,orders-owner,web-client/src/features/charts/RightUtilityDrawer.tsx;web-client/src/features/charts/orderChooserSources.ts,drawer を chooser-only にし source taxonomy を集約する,TASK-017;UG-11,drawer DOM に editor form が render されない,TST-014;TST-015;TST-016
TASK-019,WS-03,P1,orders-owner,web-client/src/features/charts/PrescriptionOrderEditorPanel.tsx;web-client/src/features/charts/OrderBundleEditPanel.tsx;web-client/src/features/charts/OrderSummaryPane.tsx;web-client/src/features/charts/SoapNotePanel.tsx,chooser source UI と truth object editor を分離し document entry を center に残す,TASK-018,editor から chooser copy が消え right rail を閉じても document entry が残る,TST-015;TST-016
TASK-020,WS-04,P0,disease-owner,web-client/src/features/charts/DiagnosisEditPanel.tsx;web-client/src/features/charts/diseaseApi.ts;web-client/src/features/charts/chartOrderSetStorage.ts;web-client/src/features/charts/pages/OrderSetEditorPage.tsx,disease 3 層 UI と candidate-only order-set semantics を実装する,TASK-003;UG-04;UG-05;UG-06;UG-07,single combined list と order-derived auto-create が消える,TST-018;TST-019;TST-023
TASK-021,WS-04,P1,server-owner,server-modernized/src/main/java/open/dolphin/rest/LocalDiagnosisResource.java;server-modernized/src/main/java/open/dolphin/orca/service/DiseaseProjectionService.java;server-modernized/src/main/java/open/orca/rest/OrcaDiseaseQuerySupport.java;server-modernized/src/main/java/open/dolphin/rest/orca/OrcaLiveDiseaseMasterResource.java;server-modernized/src/main/java/open/dolphin/orca/read/OrcaLiveDiseaseMasterReadService.java,insurance-local authoring と mirror support の server boundary を固定する,TASK-020;UG-04;UG-05;UG-06;UG-07,mirror truth 化や guessed field が server contract に混ざらない,TST-023;TST-038
TASK-022,WS-05,P0,document-image-owner,web-client/src/features/charts/DocumentCreatePanel.tsx,history delete / hard delete scope を分け attachment-linked edit を fail-close block する,TASK-004;UG-09;WS05-G2,existing reference の silent drop が起きない,TST-024;TST-025;TST-026
TASK-023,WS-05,P0,document-image-owner,web-client/src/features/charts/print/documentPrintPreviewStorage.ts;web-client/src/features/charts/pages/ChartsDocumentPrintPage.tsx,print preview を route-state only にし patient-specific storage restore を除去する,TASK-004;UG-08,reload/new tab で patient-specific preview が復元されない,TST-025;TST-027
TASK-024,WS-05,P0,document-image-owner,web-client/src/features/images/components/ImageDockedPanel.tsx;web-client/src/features/images/pages/MobileImagesUploadPage.tsx;web-client/src/features/images/patientImagesApi.ts,asset upload と document attachability を分け、attach 不可理由を visible にする,TASK-004,save-time surprise が減り Mobile Images が one-primary を守る,TST-026;TST-028;TST-029
TASK-025,WS-05,P1,server-owner,server-modernized/src/main/java/open/dolphin/rest/KarteDocumentWriteResource.java;server-modernized/src/main/java/open/dolphin/rest/PatientImagesResource.java;server-modernized/src/main/java/open/dolphin/storage/attachment/AttachmentStorageManager.java;server-modernized/src/main/java/open/dolphin/security/integrity/DocumentIntegrityService.java,reference-only attachment payload の real backend contract を test 先行で固定する,WS05-G1,supported なら安全に relation を保存し unsupported なら explicit failure に倒す,TST-028;TST-038
TASK-026,WS-06,P0,billing-owner,web-client/src/features/charts/orcaBillingStatus.ts;web-client/src/features/charts/OrcaSummary.tsx;web-client/src/features/charts/orcaIncomeInfoCache.ts,Charts 側 billing slot と correction/rebill slot を実装する,TASK-005;UG-01;UG-02;UG-12,invoice mismatch では send success でも `会計待ち` のまま,TST-030;TST-031;TST-032
TASK-027,WS-06,P1,server-owner,server-modernized/src/main/java/open/dolphin/rest/orca/OrcaChartSupportResource.java;server-modernized/src/main/java/open/dolphin/rest/orca/OrcaChartSupportSupport.java;server-modernized/src/main/java/open/dolphin/rest/orca/OrcaVisitResource.java;server-modernized/src/main/java/open/dolphin/rest/orca/OrcaAppointmentResource.java,send/confirm boundary と correction normalization owner を server 側で分ける,TASK-026;UG-01;UG-12,`medical-mod-v2` と `income-info` の意味分離が崩れない,TST-032;TST-038
TASK-028,WS-07,P0,admin-runtime-owner,web-client/src/features/administration/AdministrationPage.tsx;web-client/src/features/administration/delivery/WebOrcaConnectionCard.tsx;web-client/src/features/administration/api.ts,admin section scope note と unknown setting feature-off UI を実装する,TASK-006;UG-14,admin page が global setting 正本に誤認されない,TST-034;TST-035;TST-037
TASK-029,WS-07,P1,server-owner,server-modernized/src/main/java/open/dolphin/rest/admin/AdminConfigSnapshot.java;server-modernized/src/main/java/open/dolphin/rest/admin/AdminConfigStore.java;server-modernized/src/main/java/open/dolphin/rest/admin/AdminConfigResource.java;server-modernized/src/main/java/open/dolphin/rest/AdminOrcaConnectionResource.java;server-modernized/src/main/java/open/dolphin/rest/AdminOrcaCapabilitiesResource.java;server-modernized/src/main/java/open/dolphin/runtime/config/ServerConfigurationResolver.java,"admin/config, connection, capability, runtime-owned boundary を server 側で維持する",TASK-028;UG-14,`/api/admin/config` に未証明 field が入らない,TST-037;TST-038
TASK-030,WS-08,P1,ui-integrator,owner PR merge 後の drift file のみ,must-visible / responsive / focus / live-region の residual drift を解消する,TASK-012;TASK-016;TASK-018;TASK-024;UG-16;UG-17,contract を変えずに 1280/1024/768/390 観点の drift を消す,TST-011;TST-012;TST-013;TST-036
TASK-031,WS-09,P0,qa-release-owner,web-client/package.json;web-client/scripts/*.mjs;.github/workflows/*.yml;web-client/notes/release-gate.md;docs/runbooks/release-validation.md;docs/releases/orca-remediation-cutover.md,canonical commands / targeted suites / QA scripts / release packet を統合する,TASK-008;TASK-030,test matrix と workflows と runbook が一致する,TST-001;TST-002;TST-003;TST-039;TST-040
